Année,,Référence,Solution,Durée de la relation (en mois),Durée du préavis,Durée raisonnable
2014,,,Insuffisant,132,,12
2014,,,Insuffisant,84,,6
2014,,,Insuffisant,84,,6
2014,,,Insuffisant,96,,12
2014,,,Insuffisant,96,,8
2014,,,Insuffisant,108,,6
2014,,,Insuffisant,108,,6
2014,,,Insuffisant,60,,10
2014,,,Insuffisant,72,3,6
2014,,,Insuffisant,96,6.8,12
2014,,,Insuffisant,84,,12
2014,,,Insuffisant,72,,6
2014,,,Insuffisant,108,,6
2014,,,Insuffisant,108,,12
2014,,,Insuffisant,60,,6
2014,,,Insuffisant,69,,3
2014,,,Insuffisant,108,,7
2014,,,Insuffisant,84,,7
2014,,,Insuffisant,216,11,24
2014,,,Insuffisant,120,,2
2014,,,Insuffisant,120,6,10
2014,,,Insuffisant,144,,10
2014,,,Insuffisant,120,3,12
2014,,,Insuffisant,148,,3
2014,,,Insuffisant,120,,3
2014,,,Insuffisant,192,,24
2014,,,Insuffisant,204,,12
2014,,,Insuffisant,120,,12
2014,,,Insuffisant,144,,12
2014,,,Insuffisant,156,,12
2014,,,Insuffisant,120,,12
2014,,,Insuffisant,120,,12
2014,,,Insuffisant,132,,9
2014,,,Insuffisant,228,3.4,12
2014,,,Insuffisant,204,,12
2014,,,Insuffisant,120,,18
2014,,,Insuffisant,120,,6
2014,,,Insuffisant,300,,24
2014,,,Insuffisant,120,,12
2014,,,Insuffisant,180,3,12
2014,,,Insuffisant,120,,12
2014,,,Insuffisant,144,,12
2014,,,Insuffisant,120,,12
2014,,,Insuffisant,276,6,9
2014,,,Insuffisant,120,,6
2014,,,Insuffisant,372,,24
2014,,,Insuffisant,264,7,20
2014,,,Insuffisant,240,,12
2014,,,Insuffisant,240,6,12
2014,,,Insuffisant,300,,2
2014,,,Insuffisant,264,2,12
2014,,,Insuffisant,252,3,21
2013,,,Suffisant,24,,10
2013,,,Suffisant,84,,6
2013,,,Suffisant,36,,5
2013,,,Suffisant,60,,12
2013,,,Suffisant,24,,15
2013,,,Suffisant,36,,3
2013,,,Suffisant,84,,3
2013,,,Suffisant,96,,3
2013,,,Suffisant,24,,6
2013,,,Suffisant,36,,3
2013,,,Suffisant,48,,6
2013,,,Suffisant,42,,4
2013,,,Suffisant,48,,1
2013,,,Suffisant,24,,1.5
2013,,,Suffisant,24,,2
2013,,,Suffisant,108,,6
2013,,,Suffisant,84,,6
2013,,,Suffisant,72,,16
2013,,,Suffisant,72,,4
2013,,,Suffisant,138,,6
2013,,,Insuffisant,15,2,3
2013,,,Insuffisant,19,1,2
2013,,,Insuffisant,30,,3
2013,,,Insuffisant,5,,6
2013,,,Insuffisant,30,,2
2013,,,Insuffisant,22,,3
2013,,,Insuffisant,48,,6
2013,,,Insuffisant,48,,3
2013,,,Insuffisant,48,,6
2013,,,Insuffisant,84,,4
2013,,,Insuffisant,24,,2
2013,,,Insuffisant,36,,6
2013,,,Insuffisant,36,,3
2013,,,Insuffisant,48,,6
2013,,,Insuffisant,48,,7
2013,,,Insuffisant,48,,10
2013,,,Insuffisant,11,,3
2013,,,Insuffisant,24,,4
2013,,,Insuffisant,50,,4
2013,,,Insuffisant,36,,3
2013,,,Insuffisant,40,,3
2013,,,Insuffisant,46,,3
2013,,,Insuffisant,48,,8
2013,,,Insuffisant,72,,6
2013,,,Insuffisant,72,,3
2013,,,Insuffisant,84,,9
2013,,,Insuffisant,60,,6
2013,,,Insuffisant,84,,6
2013,,,Insuffisant,72,,6
2013,,,Insuffisant,72,,12
2013,,,Insuffisant,60,,12
2013,,,Insuffisant,60,20,6
2013,,,Insuffisant,108,,9
2013,,,Insuffisant,60,,6
2013,,,Insuffisant,72,,6
2013,,,Insuffisant,72,,6
2013,,,Insuffisant,60,,10
2013,,,Insuffisant,60,,10
2013,,,Insuffisant,96,,6
2013,,,Insuffisant,60,,12
2013,,,Insuffisant,81,6,8
2013,,,Insuffisant,60,,6
2013,,,Insuffisant,84,,6
2013,,,Insuffisant,72,,6
2013,,,Insuffisant,108,,8
2013,,,Insuffisant,72,,6
2013,,,Insuffisant,72,,6
2013,,,Insuffisant,180,,18
2013,,,Insuffisant,120,4,6
